,coord1,coord2,coord1.norm,coord2.norm,spotID,histology,region,cluster
4x15,4,15,0.202857143,0.557307692,ST378,Interstitium,Stroma,
3x15,3,15,0.142142857,0.557307692,ST370,Interstitium,Stroma,
2x15,2,15,0.081428571,0.557307692,ST361,Interstitium,Stroma,
22x14,22,14,1.295714286,0.486153846,ST252,Interstitium,Stroma,
21x14,21,14,1.235,0.486153846,ST232,Interstitium,Stroma,
20x14,20,14,1.174285714,0.486153846,ST211,Interstitium,Stroma,
19x14,19,14,1.113571429,0.486153846,ST190,Interstitium,Stroma,
18x14,18,14,1.052857143,0.486153846,ST169,Normal pancreatic tissue,Pancreatic,
17x14,17,14,0.992142857,0.486153846,ST148,Normal pancreatic tissue,Pancreatic,
16x14,16,14,0.931428571,0.486153846,ST127,Normal pancreatic tissue,Pancreatic,
15x14,15,14,0.870714286,0.486153846,ST105,Normal pancreatic tissue,Pancreatic,
14x14,14,14,0.81,0.486153846,ST83,Normal pancreatic tissue,Pancreatic,
13x14,13,14,0.749285714,0.486153846,ST62,Interstitium,Stroma,
12x14,12,14,0.688571429,0.486153846,ST41,Interstitium,Stroma,
11x14,11,14,0.627857143,0.486153846,ST21,Interstitium,Stroma,
10x14,10,14,0.567142857,0.486153846,ST3,Duct epithelium,Duct epithelium,Duct epithelium
8x14,8,14,0.445714286,0.486153846,ST412,Duct epithelium,Duct epithelium,Duct epithelium
7x14,7,14,0.385,0.486153846,ST405,Duct epithelium,Duct epithelium,Duct epithelium
6x14,6,14,0.324285714,0.486153846,ST395,Interstitium,Stroma,
5x14,5,14,0.263571429,0.486153846,ST386,Interstitium,Stroma,
4x14,4,14,0.202857143,0.486153846,ST377,Interstitium,Stroma,
3x14,3,14,0.142142857,0.486153846,ST369,Interstitium,Stroma,
2x14,2,14,0.081428571,0.486153846,ST360,Interstitium,Stroma,
20x13,20,13,1.174285714,0.415,ST210,Interstitium,Stroma,
19x13,19,13,1.113571429,0.415,ST189,Normal pancreatic tissue,Pancreatic,
18x13,18,13,1.052857143,0.415,ST168,Normal pancreatic tissue,Pancreatic,
17x13,17,13,0.992142857,0.415,ST147,Normal pancreatic tissue,Pancreatic,
16x13,16,13,0.931428571,0.415,ST126,Normal pancreatic tissue,Pancreatic,
15x13,15,13,0.870714286,0.415,ST104,Normal pancreatic tissue,Pancreatic,
14x13,14,13,0.81,0.415,ST82,Normal pancreatic tissue,Pancreatic,
13x13,13,13,0.749285714,0.415,ST61,Normal pancreatic tissue,Pancreatic,
12x13,12,13,0.688571429,0.415,ST40,Interstitium,Stroma,
11x13,11,13,0.627857143,0.415,ST20,Interstitium,Stroma,
10x13,10,13,0.567142857,0.415,ST2,Duct epithelium,Duct epithelium,Duct epithelium
9x13,9,13,0.506428571,0.415,ST418,Duct epithelium,Duct epithelium,Duct epithelium
8x13,8,13,0.445714286,0.415,ST411,Duct epithelium,Duct epithelium,Duct epithelium
7x13,7,13,0.385,0.415,ST404,Duct epithelium,Duct epithelium,Duct epithelium
6x13,6,13,0.324285714,0.415,ST394,Interstitium,Stroma,
5x13,5,13,0.263571429,0.415,ST385,Interstitium,Stroma,
4x13,4,13,0.202857143,0.415,ST376,Interstitium,Stroma,
3x13,3,13,0.142142857,0.415,ST368,Interstitium,Stroma,
11x11,11,11,0.627857143,0.272692308,ST19,Interstitium,Stroma,
9x11,9,11,0.506428571,0.272692308,ST417,Interstitium,Stroma,
8x11,8,11,0.445714286,0.272692308,ST410,Interstitium,Stroma,
7x11,7,11,0.385,0.272692308,ST403,Interstitium,Stroma,
6x11,6,11,0.324285714,0.272692308,ST393,Interstitium,Stroma,
5x11,5,11,0.263571429,0.272692308,ST384,Interstitium,Stroma,
4x11,4,11,0.202857143,0.272692308,ST375,Interstitium,Stroma,
10x10,10,10,0.567142857,0.201538462,ST1,Interstitium,Stroma,
9x10,9,10,0.506428571,0.201538462,ST416,Interstitium,Stroma,
8x10,8,10,0.445714286,0.201538462,ST409,Interstitium,Stroma,
7x10,7,10,0.385,0.201538462,ST402,Interstitium,Stroma,
6x10,6,10,0.324285714,0.201538462,ST392,Interstitium,Stroma,
5x10,5,10,0.263571429,0.201538462,ST383,Interstitium,Stroma,
4x10,4,10,0.202857143,0.201538462,ST374,Interstitium,Stroma,
6x9,6,9,0.324285714,0.130384615,ST401,Interstitium,Stroma,
5x9,5,9,0.263571429,0.130384615,ST391,Interstitium,Stroma,
4x9,4,9,0.202857143,0.130384615,ST382,Interstitium,Stroma,
5x8,5,8,0.263571429,0.059230769,ST390,Interstitium,Stroma,
4x8,4,8,0.202857143,0.059230769,ST381,Interstitium,Stroma,
